country,Code,Year,SuicideRate,Prevalence,Population,Continent
Qatar ,QAT,1990,5.7,13180.3583,441685,Asia
Romania ,ROU,1990,9.45,10415.89241,22836234,Europe
Russia ,RUS,1990,27.81,11123.23283,148005696,Europe
Rwanda ,RWA,1990,18.53,13070.77221,7319970,Africa
Saint Lucia ,LCA,1990,8.06,12900.32072,142315,America
Saint Vincent and the Grenadines ,VCT,1990,6.96,12897.41916,112507,America
Samoa ,WSM,1990,16.59,10894.23811,168202,Oceania
Sao Tome and Principe ,STP,1990,2.2,11190.39683,120355,Africa
Saudi Arabia ,SAU,1990,3.31,13216.69658,16004768,Asia
Scotland ,,1990,13,13511.18312,,Europe
Senegal ,SEN,1990,13.66,11299.96129,7536003,Africa
Serbia ,SRB,1990,21.06,10816.78034,7987530,Europe
Seychelles ,SYC,1990,9.26,10679.42275,71073,Africa
Sierra Leone ,SLE,1990,8.91,11578.98815,4325390,Africa
Singapore ,SGP,1990,15.12,11709.89816,3022218,Asia
Slovakia ,SVK,1990,16.98,10630.91141,5261310,Europe
Slovenia ,SVN,1990,28.67,11296.85843,1986030,Europe
Solomon Islands ,SLB,1990,26.61,11385.0973,324184,Oceania
Somalia ,SOM,1990,14.03,12596.28791,6999098,Africa
South Africa ,ZAF,1990,20.69,12385.17487,39877568,Africa
South Korea ,KOR,1990,11.77,10760.16929,44120040,Asia
South Sudan ,SSD,1990,10.37,12167.52065,4750824,Africa
Spain ,ESP,1990,7.66,14950.25701,38889888,Europe
Sri Lanka ,LKA,1990,43.37,12411.69943,17204098,Asia
Sudan ,SDN,1990,7.91,16891.88156,21090892,Africa
Suriname ,SUR,1990,25.1,13638.50712,412767,America
Sweden ,SWE,1990,18.28,14542.77367,8548407,Europe
Switzerland ,CHE,1990,21.68,14014.99204,6711685,Europe
Syria ,SYR,1990,3.18,14832.6932,12409003,Asia
Taiwan ,TWN,1990,10.16,10643.33791,20586176,Asia
Tajikistan ,TJK,1990,6.67,10364.9953,5417862,Asia
Tanzania ,TZA,1990,12.53,12553.1025,26206024,Africa
Thailand ,THA,1990,12.65,12724.30062,55228408,Asia
Timor ,TLS,1990,8.34,13272.18718,758120,Asia
Togo ,TGO,1990,10.96,11628.25463,3875958,Africa
Tonga ,TON,1990,5.03,10741.11103,98744,Oceania
Trinidad and Tobago ,TTO,1990,14.64,13351.35971,1266525,America
Tunisia ,TUN,1990,3.82,15072.38896,8440035,Africa
Turkey ,TUR,1990,5.88,14015.91379,54324140,Asia
Turkmenistan ,TKM,1990,8.87,10423.21394,3720287,Asia
Uganda ,UGA,1990,11.56,13552.238,17586634,Europe
Ukraine ,UKR,1990,19.46,11663.52745,51589816,Europe
United Arab Emirates ,ARE,1990,6.85,11914.77924,1900160,Europe
United Kingdom ,GBR,1990,9.5,13613.89093,57210444,Europe
United States ,USA,1990,12.1,15591.99867,248083728,America
United States Virgin Islands ,VIR,1990,7.42,12888.56607,100699,America
Uruguay ,URY,1990,10.66,14246.64494,3117011,America
Uzbekistan ,UZB,1990,8.71,10618.24353,20579106,Asia
Vanuatu ,VUT,1990,19.54,11178.74725,150900,Oceania
Venezuela ,VEN,1990,6.69,10621.11148,19750580,America
Vietnam ,VNM,1990,10.38,10751.63391,66912616,Asia
World ,OWID_WRL,1990,15.37,12770.46031,5316175872,Africa
Yemen ,YEM,1990,6.79,15694.83785,13375127,Asia
Zambia ,ZMB,1990,14.62,12072.55976,7686405,Africa
Zimbabwe ,ZWE,1990,17.67,11093.1271,10113899,Africa
